Pole;Humus;K2O;A1
1;Pole1;1,36;24;24
2;Pole1;1,38;13;34
3;Pole1;1,37;18;26
4;Pole1;1,49;6;35
5;Pole1;1,54;13;32
6;Pole1;1,42;19;33
7;Pole1;1,34;24;37
8;Pole1;1,41;11;32
9;Pole1;1,59;14;43
10;Pole1;1,66;23;29
11;Pole1;1,48;19;34
12;Pole1;1,4;18;25
13;Pole1;1,49;8;40
14;Pole1;1,48;11;24
15;Pole1;1,55;19;19
16;Pole1;1,35;11;31
17;Pole1;1,35;12;40
18;Pole1;1,54;14;43
19;Pole1;1,54;20;38
20;Pole1;1,71;18;28
21;Pole1;1,72;11;34
22;Pole2;1,75;47;35
23;Pole2;1,62;36;36
24;Pole2;1,84;36;38
25;Pole2;2,01;48;35
26;Pole2;1,73;41;33
27;Pole2;1,67;35;33
28;Pole2;1,53;39;34
29;Pole2;1,89;44;37
30;Pole2;2,07;40;31
31;Pole2;1,84;28;36
32;Pole2;1,82;52;36
33;Pole2;2,02;48;36
34;Pole2;1,86;50;36
35;Pole2;1,73;68;33
36;Pole2;1,99;47;31
37;Pole2;1,69;56;34
38;Pole2;1,78;51;34
39;Pole2;1,72;48;35
40;Pole2;1,74;15;34
41;Pole2;1,41;40;35
42;Pole2;1,88;55;33
43;Pole3;2,15;18;25
44;Pole3;1,8;35;27
45;Pole3;2,03;51;25
46;Pole3;2,23;36;32
47;Pole3;2,51;22;28
48;Pole3;1,91;13;35
49;Pole3;2,13;14;33
50;Pole3;1,94;37;30
51;Pole3;2,18;13;30
52;Pole3;2,06;19;33
53;Pole3;2,21;15;26
54;Pole3;2,22;17;25
55;Pole3;1,95;15;24
56;Pole3;1,82;42;29
57;Pole3;1,94;48;32
58;Pole3;2,29;16;42
59;Pole3;1,77;24;27
60;Pole3;2,14;25;23
61;Pole3;2,02;19;34
62;Pole3;1,86;18;24
63;Pole3;2,11;40;31
