Hum12;Hum17;Hum22;Teacher;Group;Weeds12 
3,88;4,57;3,94;1;25;31 
3,91;4,78;4,76;1;26;46 
4,58;5,34;5,06;1;25;30 
4,84;5,02;4,79;1;26;41 
4,19;4,48;4,43;1;25;31 
4,71;5,02;4,19;1;26;45 
5,16;5,74;5,00;1;25;31 
4,33;4,79;3,97;1;25;32 
4,28;4,42;4,31;1;26;34 
4,13;4,90;3,44;1;26;37 
4,88;4,99;3,93;1;25;31 
4,21;4,44;4,65;1;26;42 
4,63;5,28;4,45;1;25;33 
4,98;4,80;4,73;1;26;47 
4,80;5,45;4,82;1;25;29 
4,27;4,32;4,57;1;26;37 
4,47;4,69;3,56;1;26;38 
4,18;4,91;4,48;1;26;40 
4,54;5,85;4,92;1;26;42 
4,48;5,29;4,45;1;26;49 
4,96;4,57;4,64;1;26;40 
4,71;5,06;4,46;1;25;32 
4,73;5,06;4,46;1;26;34 
4,61;4,95;4,17;1;26;42 
4,08;4,76;3,87;1;26;33 
4,78;5,12;4,93;1;26;37 
5,08;5,50;4,58;1;26;38 
4,82;4,99;4,36;1;25;32 
4,66;4,92;4,10;1;26;42 
4,63;4,91;4,46;1;26;37 
4,40;;4,24;1;25;31 
5,25;;4,40;1;26;40 
4,55;;4,48;1;26;34 
;;;1;26;39 
;;;1;25;32 
;;;1;26;42 
;;;1;26;34 
;;;1;25;33 
;;;1;26;36 
;;;1;26;48 
;;;1;25;30 
;;;1;25;33 
;;;1;26;43 
;;;1;26;41 
;;;1;26;34 
;;;1;25;32 
;;;1;25;30 
;;;1;26;34 
;;;1;26;38 
;;;1;25;31 
;;;1;26;41 
;;;1;26;34 
;;;1;25;32 
;;;1;26;46 
;;;1;25;31 
;;;1;25;32 
;;;1;26;34 
;;;1;25;32 
;;;1;25;32 
;;;1;26;37 
;;;1;25;32 
;;;1;25;32 
;;;1;25;31 
;;;1;26;35 
;;;1;26;39 
;;;1;26;38 
;;;1;25;31 
;;;1;25;30 
;;;1;25;32 
;;;1;26;35 
;;;1;25;33 
;;;1;25;33 
;;;1;26;39 
;;;1;26;35 
;;;1;25;31 
;;;1;25;30 
;;;1;26;36 
;;;1;26;40 
;;;1;25;32 
;;;1;25;30 
;;;1;25;32 
;;;1;25;31 
;;;1;26;34 
;;;1;25;30 
;;;1;26;35 
;;;1;25;32 
;;;1;25;33 
;;;1;26;36 
;;;1;25;30 
;;;1;25;31 
;;;1;26;35 
;;;1;26;36 
;;;1;25;33 
;;;1;26;38 
;;;1;26;37 
;;;1;25;33 
;;;1;26;41 
;;;1;25;30 
;;;1;26;34 
;;;1;26;37 
;;;1;25;32 
;;;1;26;34 
;;;1;26;35 
;;;1;25;32 
;;;1;26;41 
;;;1;25;31 
;;;1;25;33 
;;;1;25;33 
;;;1;25;32 
;;;1;26;34 
;;;1;25;30 
;;;1;25;30 
;;;1;26;37 
;;;1;26;34 
;;;1;25;30 
;;;1;26;36 
;;;1;25;31 
;;;1;26;35 
;;;1;26;35 
;;;1;26;36 
;;;1;25;30 
;;;1;25;31 
;;;1;25;32 
;;;1;25;30 
;;;1;25;30 
;;;1;26;39 
;;;1;25;31 
;;;1;26;36 
;;;1;26;35 
;;;1;26;38 
;;;1;25;31 
;;;1;26;39 
;;;1;25;31 
;;;1;26;36 
;;;1;26;35 
;;;1;25;31 
;;;1;25;30 
;;;1;26;34 
;;;1;25;31 
;;;1;25;33 
;;;1;25;33 
;;;1;25;31 
;;;1;26;35 
;;;1;25;32 
;;;1;26;37 
;;;1;26;35 
;;;1;26;39 
;;;1;26;34 
;;;1;25;32 
;;;1;26;33 
;;;1;26;38 
;;;1;26;38 
;;;1;25;32 
;;;1;25;32 
;;;1;25;31 
;;;1;25;31 
;;;1;26;35 
;;;1;25;32 
;;;1;26;36 
;;;1;25;32 
;;;1;26;41 
;;;1;25;33 
;;;1;26;34 
;;;1;26;35 
;;;1;25;33 
;;;1;26;35 
;;;1;26;39 
;;;1;25;32 
;;;1;26;34 
;;;1;25;31 
;;;1;25;31 
;;;1;26;36 
;;;1;26;41 
;;;1;26;34 
;;;1;25;33 
;;;1;25;31 
;;;1;26;38 
;;;1;26;35 
;;;1;25;31 
;;;1;25;31 
;;;1;25;31 
;;;1;25;31 
;;;1;25;33 
;;;1;26;35 
;;;1;26;39 
;;;1;26;41 
;;;1;25;31 
;;;1;26;36 
;;;1;26;36 
;;;1;26;38 
;;;1;26;39 
;;;1;25;31 
;;;1;25;30 
;;;1;26;34 
;;;1;25;33 
;;;1;26;34 
;;;1;25;31 
;;;1;25;32 
;;;1;25;33 
;;;1;25;33 
;;;1;26;37 
;;;1;26;34 
;;;1;25;31 
;;;1;26;35 
;;;1;25;32 
;;;1;25;30 
;;;1;26;36 
;;;1;25;32 
;;;1;26;34 
;;;1;26;40 
;;;1;25;32 
;;;1;26;35 
;;;1;25;33 
;;;1;26;37 
;;;1;26;40 
;;;1;25;30 
;;;1;26;36 
;;;1;26;36 
;;;1;26;34 
;;;1;25;31 
;;;1;25;32 
